index,Tile_ID,Observer – 1,Observer – 2,Common
0,Aswcm7tile_11459_141502,5,4,4
1,Aswcm7tile_11459_142520,5,3,3
2,Aswcm7tile_13096_146592,8,1,1
3,Aswcm7tile_13096_155754,6,3,3
4,Aswcm7tile_14733_147610,4,3,2
5,Aswcm7tile_14733_148628,7,4,3
6,Aswcm7tile_14733_149646,6,2,1
7,Aswcm7tile_14733_156772,14,1,1
8,Aswcm7tile_14733_159826,12,3,2
9,Aswcm7tile_16370_156772,7,1,1
10,Aswcm7tile_18007_148628,4,2,2
11,Aswcm7tile_18007_149646,9,3,1
12,Aswcm7tile_18007_151682,14,2,2
13,Aswcm7tile_19644_150664,5,2,1
14,Aswcm7tile_19644_151682,4,2,1
15,Aswcm7tile_19644_152700,5,3,3
16,Aswcm7tile_19644_154736,14,2,1
17,Aswcm7tile_21281_154736,8,1,1
18,Aswcm7tile_21281_155754,11,3,2
19,Aswcm7tile_22918_154736,3,1,1
20,Aswcm7tile_22918_155754,11,2,2
21,Aswcm7tile_34377_21378,6,3,3
22,Aswcm7tile_36014_19342,2,2,1
23,Aswcm7tile_36014_24432,7,1,0
24,Aswcm7tile_37651_17306,7,4,1
25,Aswcm7tile_37651_18324,11,4,3
26,Aswcm7tile_37651_19342,12,2,2
27,Aswcm7tile_37651_20360,10,5,5
28,Aswcm7tile_39288_17306,14,3,2
29,Aswcm7tile_39288_19342,9,4,3
30,Aswcm7tile_39288_24432,8,4,2
31,Aswcm7tile_39288_53954,6,2,1
32,Aswcm7tile_40925_24432,3,1,0
33,Aswcm7tile_40925_25450,10,4,4
34,Aswcm7tile_40925_26468,5,1,1
35,Aswcm7tile_40925_53954,14,3,3
36,Aswcm7tile_42562_23414,10,1,1
37,Aswcm7tile_42562_24432,5,1,0
38,Aswcm7tile_42562_25450,2,2,1
39,Aswcm7tile_42562_54972,6,1,0
40,Aswcm7tile_44199_21378,8,3,3
41,Aswcm7tile_44199_22396,6,4,3
42,Aswcm7tile_45836_148628,5,2,2
43,Aswcm7tile_45836_149646,2,1,1
44,Aswcm7tile_45836_150664,3,2,1
45,Aswcm7tile_45836_15270,10,4,2
46,Aswcm7tile_45836_17306,15,7,6
47,Aswcm7tile_45836_19342,11,5,3
48,Aswcm7tile_45836_60062,2,1,1
49,Aswcm7tile_47473_152700,6,1,1
50,Aswcm7tile_47473_153718,11,1,1
51,Aswcm7tile_47473_154736,15,3,3
52,Aswcm7tile_47473_51918,5,6,3
53,Aswcm7tile_47473_52936,4,3,3
54,Aswcm7tile_47473_55990,3,1,0
55,Aswcm7tile_47473_62098,4,1,0
56,Aswcm7tile_47473_63116,11,2,2
57,Aswcm7tile_49110_11198,9,2,2
58,Aswcm7tile_49110_144556,3,1,0
59,Aswcm7tile_49110_145574,2,1,1
60,Aswcm7tile_49110_146592,6,1,1
61,Aswcm7tile_49110_149646,3,1,1
62,Aswcm7tile_49110_150664,16,2,1
63,Aswcm7tile_49110_151682,6,3,3
64,Aswcm7tile_49110_152700,5,2,2
65,Aswcm7tile_49110_153718,11,3,2
66,Aswcm7tile_49110_154736,12,4,3
67,Aswcm7tile_49110_157790,6,1,1
68,Aswcm7tile_49110_158808,10,1,0
69,Aswcm7tile_49110_49882,7,1,1
70,Aswcm7tile_49110_50900,3,1,0
71,Aswcm7tile_49110_58026,7,1,1
72,Aswcm7tile_49110_59044,4,1,0
73,Aswcm7tile_50747_10180,15,2,2
74,Aswcm7tile_50747_144556,3,1,1
75,Aswcm7tile_50747_145574,5,1,1
76,Aswcm7tile_50747_147610,7,2,2
77,Aswcm7tile_50747_152700,7,2,1
78,Aswcm7tile_50747_154736,6,1,1
79,Aswcm7tile_50747_156772,9,2,2
80,Aswcm7tile_50747_157790,1,2,0
81,Aswcm7tile_50747_48864,12,2,1
82,Aswcm7tile_50747_49882,12,4,4
83,Aswcm7tile_50747_50900,5,1,0
84,Aswcm7tile_50747_51918,5,1,1
85,Aswcm7tile_50747_53954,9,1,1
86,Aswcm7tile_52384_147610,4,3,3
87,Aswcm7tile_52384_148628,4,1,1
88,Aswcm7tile_52384_149646,12,3,3
